,round,algorithm,QoS,runtime,n_requests,req_id,req_service,req_acc,req_delay,served_acc,served_delay
22,1,GSP-GRS,15.603213420212878,68.91600799560547,100,32,63,0.6464723808410833,20,0.7758247624798027,3.1574445777980107
23,1,GSP-GRS,15.603213420212878,68.91600799560547,100,38,64,0.7850662042832285,1,0.770666930142401,3.677857491119315
24,1,GSP-GRS,15.603213420212878,68.91600799560547,100,51,48,0.3089000624580091,8,0.6937632211073315,3.355488611826983
25,1,GSP-GRS,15.603213420212878,68.91600799560547,100,62,76,0.6069405687741598,37,0.601121353575049,3.5856879727240667
26,1,GSP-GRS,15.603213420212878,68.91600799560547,100,67,94,0.8997170066896492,19,0.712913068382438,3.0923312502586597
27,1,GSP-GRS,15.603213420212878,68.91600799560547,100,71,23,0.7001810641683534,36,0.6541621106531317,3.9995994985024725
28,1,GSP-GRS,15.603213420212878,68.91600799560547,100,76,84,0.2229596744023725,22,0.5456140726066004,3.250017413108588
29,1,GSP-GRS,15.603213420212878,68.91600799560547,100,85,58,0.729155749203181,6,0.6754578850932663,4.30535671593514
30,1,GSP-GRS,15.603213420212878,68.91600799560547,100,91,94,0.28904384775996034,2,0.712913068382438,4.366319565368809
31,1,GSP-GRS,15.603213420212878,68.91600799560547,100,97,28,0.7226939653755501,68,0.4089492555089431,3.864038448143763
32,2,GSP-GRS,5.5141071714244,53.68923807144165,100,1,73,0.8142860634020824,37,0.5334410526442841,3.1332496508318157
33,2,GSP-GRS,5.5141071714244,53.68923807144165,100,24,16,0.6455644353550907,40,0.6855617884700037,2.9664268161165426
34,2,GSP-GRS,5.5141071714244,53.68923807144165,100,40,6,0.9325816995354294,14,0.7979726293586753,3.688780120481928
35,2,GSP-GRS,5.5141071714244,53.68923807144165,100,44,93,0.7894759879318837,15,0.5961697188406357,2.718667680285699
36,2,GSP-GRS,5.5141071714244,53.68923807144165,100,52,79,0.6020194164255261,64,0.6896119592620797,4.361746987951808
37,2,GSP-GRS,5.5141071714244,53.68923807144165,100,63,19,0.6231646508867131,72,0.6990888837152242,4.705882352941177
38,2,GSP-GRS,5.5141071714244,53.68923807144165,100,65,10,0.7079664198866263,29,0.5989120463609356,2.9192758517051782
39,2,GSP-GRS,5.5141071714244,53.68923807144165,100,72,50,0.3538623585244808,3,0.7313979866878487,5.926581325301205
40,2,GSP-GRS,5.5141071714244,53.68923807144165,100,96,2,0.9754538166134429,61,0.5281766139224866,2.0646182133196613
41,0,GSP-GRS,25.03056201452309,43.15229916572571,200,0,58,0.971466972426044,43,0.5597511567883465,6.879118028534371
42,0,GSP-GRS,25.03056201452309,43.15229916572571,200,14,43,0.8598043843795528,1,0.4576563541376667,5.501687486302871
43,0,GSP-GRS,25.03056201452309,43.15229916572571,200,24,98,0.8232961416138364,14,0.7603360621231074,7.869605142332414
44,0,GSP-GRS,25.03056201452309,43.15229916572571,200,31,61,0.982555963047361,35,0.40216148350559056,7.961432506887052
45,0,GSP-GRS,25.03056201452309,43.15229916572571,200,32,70,0.48013854615759594,22,0.5661571877271591,8.338593030900723
