,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
3792,Grd-Ran,38.58375956311959,0.06174278259277344,800,79.0,0,60
3793,Grd-Ran,37.36109329102165,0.05903315544128418,800,76.0,0,56
3794,Grd-Ran,31.154670154276424,0.06329989433288574,800,63.0,0,52
3795,Grd-Ran,31.803464764958772,0.05734610557556152,800,65.0,0,50
3796,Grd-Ran,31.46685443351511,0.05597376823425293,800,64.0,0,54
3797,Grd-Ran,30.40265619956102,0.05135202407836914,800,62.0,0,46
3798,Grd-Ran,26.890690824443887,0.04835104942321777,800,55.0,0,40
3799,Grd-Ran,37.90751224923494,0.05966019630432129,800,77.0,0,62
3800,Grd-Ran,33.9080930526358,0.06556105613708496,900,69.0,0,54
3801,Grd-Ran,33.46642995563461,0.06539392471313477,900,68.0,0,56
3802,Grd-Ran,34.700186607106765,0.06556820869445801,900,71.0,0,48
3803,Grd-Ran,37.72303857272588,0.0694589614868164,900,77.0,0,56
3804,Grd-Ran,31.670893312312238,0.04873800277709961,900,64.0,0,54
3805,Grd-Ran,34.50823682338686,0.06545305252075195,900,70.0,0,58
3806,Grd-Ran,33.55855804284081,0.06073808670043945,900,68.0,0,54
3807,Grd-Ran,33.51115535695734,0.06781911849975586,900,68.0,0,55
3808,Grd-Ran,38.77182365514119,0.06597304344177246,900,78.0,0,68
3809,Grd-Ran,35.79840883097904,0.06373405456542969,900,73.0,0,54
3810,Grd-Ran,36.52529859591895,0.0837860107421875,900,74.0,0,60
3811,Grd-Ran,46.841406730955896,0.11098313331604004,900,95.0,0,75
3812,Grd-Ran,35.775789290177876,0.06858992576599121,900,73.0,0,55
3813,Grd-Ran,25.442582985438293,0.04516887664794922,900,52.0,0,38
3814,Grd-Ran,35.499985357977124,0.0646820068359375,900,72.0,0,57
3815,Grd-Ran,33.60541491825083,0.06656002998352051,900,68.0,0,57
3816,Grd-Ran,30.48432226995078,0.053408145904541016,900,62.0,0,52
3817,Grd-Ran,30.966371955185465,0.06262397766113281,900,63.0,0,48
3818,Grd-Ran,29.644034205382795,0.061779022216796875,900,60.0,0,49
3819,Grd-Ran,34.741708741737284,0.07539701461791992,900,71.0,0,49
3820,Grd-Ran,40.7533920247447,0.0689079761505127,900,83.0,0,63
3821,Grd-Ran,36.55460172371322,0.06531691551208496,900,75.0,0,54
3822,Grd-Ran,31.121955344190496,0.07044792175292969,900,63.0,0,49
3823,Grd-Ran,35.291573553095404,0.06415629386901855,900,72.0,0,57
3824,Grd-Ran,37.0897753007925,0.0747671127319336,900,76.0,0,56
3825,Grd-Ran,42.95382665030295,0.09355020523071289,900,87.0,0,73
3826,Grd-Ran,41.671703875639324,0.08424925804138184,900,84.0,0,75
3827,Grd-Ran,36.61665248927904,0.07978224754333496,900,75.0,0,56
3828,Grd-Ran,32.18780772584312,0.05721616744995117,900,65.0,0,56
3829,Grd-Ran,36.978194633021594,0.06539702415466309,900,75.0,0,66
3830,Grd-Ran,34.8624432644879,0.07390069961547852,900,71.0,0,57
3831,Grd-Ran,24.79715818955866,0.03982210159301758,900,50.0,0,42
3832,Grd-Ran,34.82428298228725,0.06246209144592285,900,71.0,0,53
3833,Grd-Ran,39.23606251603141,0.06989169120788574,900,81.0,0,55
3834,Grd-Ran,38.52671823925431,0.07369613647460938,900,78.0,0,67
3835,Grd-Ran,32.56679807826776,0.06403398513793945,900,67.0,0,44
3836,Grd-Ran,36.84364305690971,0.08252596855163574,900,75.0,0,61
3837,Grd-Ran,39.7601552679004,0.0765829086303711,900,81.0,0,61
3838,Grd-Ran,42.29759054470811,0.07237005233764648,900,86.0,0,67
3839,Grd-Ran,36.06240571011814,0.061797142028808594,900,74.0,0,55
3840,Grd-Ran,35.0951639184467,0.07572793960571289,900,72.0,0,54
3841,Grd-Ran,41.00511674159926,0.06806516647338867,900,83.0,0,62
3842,Grd-Ran,38.94275129223355,0.07810688018798828,900,79.0,0,65
3843,Grd-Ran,34.69953059011725,0.059198856353759766,900,70.0,0,60
3844,Grd-Ran,37.044160766544955,0.06847381591796875,900,75.0,0,65
3845,Grd-Ran,30.8773267756647,0.05566596984863281,900,62.0,0,57
3846,Grd-Ran,27.830069449707334,0.05354118347167969,900,57.0,0,42
3847,Grd-Ran,42.70655657579011,0.07806682586669922,900,87.0,0,72
3848,Grd-Ran,30.572869775182156,0.06137871742248535,900,62.0,0,49
3849,Grd-Ran,33.53020161818696,0.06164693832397461,900,68.0,0,54
3850,Grd-Ran,30.316865352120118,0.05755496025085449,900,62.0,0,47
3851,Grd-Ran,41.60478510242358,0.06833696365356445,900,84.0,0,71
3852,Grd-Ran,34.728871487936765,0.07120203971862793,900,71.0,0,55
3853,Grd-Ran,38.77719910481845,0.061987876892089844,900,79.0,0,58
3854,Grd-Ran,37.28602610530635,0.06692790985107422,900,76.0,0,57
3855,Grd-Ran,27.23044510688383,0.05445504188537598,900,56.0,0,41
3856,Grd-Ran,34.740756189115714,0.055101871490478516,900,71.0,0,56
3857,Grd-Ran,45.82786697072799,0.09332394599914551,900,93.0,0,71
3858,Grd-Ran,35.22184458259787,0.06273722648620605,900,72.0,0,53
3859,Grd-Ran,38.722909005065304,0.06770586967468262,900,79.0,0,59
3860,Grd-Ran,28.67617557663719,0.0567631721496582,900,59.0,0,41
