,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
90,0,EGP,123.40433596669044,0.5651631355285645,250,137.0,8,65
91,1,EGP,125.11144515688959,0.5638399124145508,250,139.0,11,53
92,2,EGP,118.10193886421396,0.4925880432128906,250,135.0,6,57
93,3,EGP,120.225705064797,0.47638607025146484,250,133.0,9,69
94,4,EGP,115.33618684405414,0.6011590957641602,250,127.0,8,60
95,5,EGP,127.02126540500095,0.49498987197875977,250,140.0,10,71
96,6,EGP,115.20638490235827,0.5598616600036621,250,127.0,14,69
97,7,EGP,112.87270751379673,0.5584750175476074,250,126.0,9,53
98,8,EGP,113.72250148229175,0.7412588596343994,250,125.0,15,65
99,9,EGP,109.38040367592389,0.474581241607666,250,119.0,15,62
100,0,AGP,46.33515880051985,41.50400161743164,50,50.0,4,38
101,1,AGP,44.634898836860195,31.300468921661377,50,48.0,4,37
102,2,AGP,42.470912889539235,28.94027805328369,50,46.0,5,30
103,3,AGP,47.13892206592795,36.64690399169922,50,50.0,11,36
104,4,AGP,47.033187693001345,40.48687791824341,50,50.0,6,39
105,5,AGP,45.73416979069392,33.100215673446655,50,50.0,8,35
106,6,AGP,46.61260004204947,33.34474587440491,50,50.0,11,35
107,7,AGP,46.35288490425544,39.044214725494385,50,50.0,6,39
108,8,AGP,46.301596611066735,38.14313888549805,50,50.0,7,40
109,9,AGP,45.35670322134092,34.9704270362854,50,49.0,8,41
110,0,AGP,88.54534187525408,69.24179911613464,100,97.0,9,67
111,1,AGP,81.93532641786021,68.34467101097107,100,89.0,4,48
112,2,AGP,83.9112668279747,75.0213623046875,100,91.0,5,56
113,3,AGP,83.6129857061888,67.54263997077942,100,90.0,14,52
114,4,AGP,76.79665978471616,61.90281891822815,100,82.0,13,55
115,5,AGP,76.2166214596525,50.94349002838135,100,82.0,10,55
116,6,AGP,82.94718125860021,67.73585510253906,100,91.0,10,51
117,7,AGP,78.59918890584386,59.69593095779419,100,84.0,10,61
118,8,AGP,77.16822593067278,53.157097816467285,100,83.0,14,54
119,9,AGP,81.65416688732454,60.33847093582153,100,89.0,5,61
120,0,AGP,97.32969852752028,76.17249083518982,150,105.0,7,57
121,1,AGP,107.12862152613944,95.34054207801819,150,116.0,9,64
122,2,AGP,93.91029428790183,89.46851420402527,150,101.0,11,66
123,3,AGP,102.06940102893793,105.84033298492432,150,112.0,2,56
124,4,AGP,97.57239366355503,94.58060097694397,150,106.0,18,61
