,C,Round,Average Loss Train,Average Loss Test,Accuracy Test,Workers Number
153,0.8,3,0.45032775429256505,1.723681121826171,32.79999923706055,80
154,0.8,4,0.419509700999711,1.650519775390625,37.79999923706055,80
155,0.8,5,0.42146347188540606,1.60723681640625,39.400001525878906,80
156,0.8,6,0.385638196133105,1.567639984130859,42.599998474121094,80
157,0.8,7,0.375219325571202,1.53431298828125,45.0,80
158,0.8,8,0.354825594197725,1.520590606689453,45.0,80
159,0.8,9,0.352019988510728,1.458455535888672,46.0,80
160,0.8,10,0.342780455750947,1.47550341796875,45.0,80
161,0.8,11,0.334160147261003,1.4154536743164061,47.79999923706055,80
162,0.8,12,0.312669703230663,1.384474731445312,50.79999923706055,80
163,0.8,13,0.30475435800614703,1.3805605163574222,50.400001525878906,80
164,0.8,14,0.288942028707517,1.3669479370117181,50.599998474121094,80
165,0.8,15,0.279516886750239,1.36163003540039,52.0,80
166,0.8,16,0.265440676153544,1.42101724243164,47.599998474121094,80
167,0.8,17,0.259431617166676,1.354105590820312,53.79999923706055,80
168,0.8,18,0.250376378881499,1.3907967224121092,51.20000076293945,80
169,0.8,19,0.251829247831314,1.442396209716796,52.20000076293945,80
170,0.8,20,0.222226822877112,1.40975308227539,50.599998474121094,80
171,0.8,21,0.22295944232484802,1.404522552490234,48.79999923706055,80
172,0.8,22,0.212737376302111,1.409429107666015,50.599998474121094,80
173,0.8,23,0.203305592280069,1.38879214477539,49.599998474121094,80
174,0.8,24,0.19368811597652702,1.427667327880859,50.79999923706055,80
175,0.8,25,0.186779984552324,1.423006134033203,49.400001525878906,80
176,0.8,26,0.18792338879585102,1.41644985961914,51.0,80
177,0.8,27,0.179116561752955,1.45435205078125,50.20000076293945,80
178,0.8,28,0.17018742559119202,1.453837493896484,51.79999923706055,80
179,0.8,29,0.157727004164327,1.4859718933105461,49.79999923706055,80
180,0.8,30,0.15227454935460902,1.5144998474121092,50.20000076293945,80
181,0.8,31,0.145469093183402,1.516528259277343,50.599998474121094,80
182,0.8,32,0.151132068169635,1.53959097290039,50.20000076293945,80
183,0.8,33,0.156663079052759,1.567922058105468,49.20000076293945,80
184,0.8,34,0.14564281393532,1.534115753173828,51.79999923706055,80
185,0.8,35,0.13879738006326,1.568406097412109,50.400001525878906,80
186,0.8,36,0.12907937080645202,1.575504272460937,49.20000076293945,80
187,0.8,37,0.138771834093976,1.576902862548828,49.79999923706055,80
188,0.8,38,0.130088573656283,1.616206665039062,47.79999923706055,80
189,0.8,39,0.13725121509123,1.6562754821777341,47.20000076293945,80
190,0.8,40,0.137620707808451,1.5953658447265622,50.20000076293945,80
191,0.8,41,0.128048031504434,1.59971206665039,49.599998474121094,80
192,0.8,42,0.130718773973902,1.577472015380859,50.0,80
193,0.8,43,0.126182890196389,1.612294403076172,48.400001525878906,80
194,0.8,44,0.12318534376760601,1.614401641845703,50.20000076293945,80
195,0.8,45,0.12668866695017,1.6170456848144532,48.79999923706055,80
196,0.8,46,0.112232485253866,1.625132934570312,50.20000076293945,80
197,0.8,47,0.12407398895724901,1.618131927490234,49.79999923706055,80
198,0.8,48,0.11852911274251501,1.6372542419433591,49.599998474121094,80
199,0.8,49,0.11656804538621,1.655575073242187,49.79999923706055,80
200,1.0,0,0.720501764534574,2.306165588378906,12.600000381469727,100
201,1.0,1,0.519231070707673,1.8927929687499998,30.0,100
202,1.0,2,0.49230294689069104,1.613385437011718,39.599998474121094,100
203,1.0,3,0.46687795931705506,1.547842224121093,42.0,100
204,1.0,4,0.43091669725686604,1.473148620605468,46.599998474121094,100
205,1.0,5,0.40989779551514305,1.446519866943359,44.599998474121094,100
206,1.0,6,0.39395287742664503,1.378318939208984,49.20000076293945,100
207,1.0,7,0.371011563990359,1.3248251953125,50.20000076293945,100
