,round,algorithm,QoA,QoD,QoS,runtime,n_requests,req_id,req_service,req_acc,req_delay,served_acc,served_delay
1573,3,EGP,0.7558660465059739,0.5848375602224779,0.670351803364226,0.576923131942749,300,192,94,0.9932763460592444,0.7156626519222791,0.7491423925652183,2.791474850809889
1574,3,EGP,0.731902448536343,0.4339133206948469,0.582907884615595,0.576923131942749,300,195,75,0.9634179683044292,0.09535780959127263,0.6953204168407722,2.9257912061170384
1575,3,EGP,0.7200513288491326,0.6468087243321492,0.6834300265906409,0.576923131942749,300,196,7,0.9680439329620032,0.6726002243964534,0.6880952618111358,2.4385566027357073
1576,3,EGP,1.0,0.771628531707993,0.8858142658539965,0.576923131942749,300,198,2,0.5661888600636192,1.7547078365515303,0.6016123251632279,2.8965651780115653
1577,3,EGP,0.8648881480855314,1.0,0.9324440740427657,0.576923131942749,300,199,47,0.969081228404892,3.9919093017587075,0.8339693764904234,2.902674494455316
1578,3,EGP,0.7522549596510911,0.7024193934498235,0.7273371765504573,0.576923131942749,300,202,58,0.8181664400185943,1.6118412127734145,0.5704213996696854,3.0997442455242967
1579,3,EGP,0.6715815855341051,0.5118912772608569,0.591736431397481,0.576923131942749,300,203,38,0.9984787280298953,0.28842906711937755,0.6700603135640004,2.728972680815093
1580,3,EGP,0.8905302469601071,0.3964975753842659,0.6435139111721865,0.576923131942749,300,204,75,0.7888804593420116,0.21049595885541988,0.6794107063021186,3.2280080819340906
1581,3,EGP,0.805707560643742,0.5620578831231511,0.6838827218834466,0.576923131942749,300,209,23,0.9376814941046463,0.44217347358676945,0.7433890547483883,2.631884057971014
1582,3,EGP,0.9833991740899405,0.7359166906782494,0.8596579323840949,0.576923131942749,300,212,47,0.8505702024004829,1.5822579478465628,0.8339693764904234,2.902674494455316
1583,3,EGP,0.8630020422782018,0.7298530981211743,0.796427570199688,0.576923131942749,300,213,76,0.8605586819531069,1.5771742095593666,0.7235607242313087,2.9279087189534954
1584,3,EGP,1.0,0.4589488547723195,0.7294744273861598,0.576923131942749,300,215,38,0.6402706731040784,0.023716954676690466,0.6700603135640004,2.728972680815093
1585,3,EGP,0.9513351450256146,0.831732009509319,0.8915335772674668,0.576923131942749,300,216,48,0.9492965217931666,2.292540703821811,0.9006316668187812,3.1338806562752155
1586,3,EGP,1.0,0.6789678488923095,0.8394839244461547,0.576923131942749,300,217,13,0.6575303768988439,1.3075941911890971,0.7667378850312689,2.9127549467275493
1587,3,EGP,0.8831154725525528,0.8980166558958207,0.8905660642241868,0.576923131942749,300,220,72,0.8623181445270648,1.9904735709141712,0.7454336170796176,2.5003902914350675
1588,3,EGP,0.965831882254108,0.9775860951071571,0.9717089886806325,0.576923131942749,300,221,87,0.8836520697519227,2.3996622193350396,0.8494839520060307,2.5117317437992543
1589,3,EGP,0.590380735027644,0.7633245121734105,0.6768526236005272,0.576923131942749,300,223,16,0.8778893343411784,2.5376077913342336,0.46827006936882243,3.7209852304671815
1590,3,EGP,0.8371496222224064,0.5903858265095673,0.7137677243659868,0.576923131942749,300,225,64,0.9587814112803955,0.6808509516587207,0.7959310335028019,2.728921819110884
1591,3,EGP,0.983073887807021,0.5669777191848876,0.7750258034959543,0.576923131942749,300,226,28,0.7241648431140213,0.7731870118672075,0.7072387309210423,2.9382984159427696
1592,3,EGP,0.760547348728106,0.6630240507775674,0.7117856997528367,0.576923131942749,300,228,34,0.9471180047439345,0.787413519019977,0.7076653534720405,2.47229326513214
1593,3,EGP,1.0,0.5595257693267979,0.7797628846633989,0.576923131942749,300,231,23,0.7068455736076311,0.04857342698415665,0.7433890547483883,2.250944580350167
1594,3,EGP,0.927883502107674,0.4860048348222491,0.7069441684649616,0.576923131942749,300,232,86,0.8202559704601609,1.0418875704662107,0.7481394725678349,3.6118633963549653
1595,3,EGP,1.0,0.7517439367569908,0.8758719683784955,0.576923131942749,300,234,83,0.6728205807152541,2.060781171447263,0.78173075973823,3.302061487662309
1596,3,EGP,0.8699330224970996,0.9898374357935602,0.9298852291453299,0.576923131942749,300,235,89,0.756988967453485,2.5856112886457443,0.6269219899505846,2.636424109677943
1597,3,EGP,0.8785380280921431,0.6137576971806967,0.74614786263642,0.576923131942749,300,239,41,0.8928963231073463,1.755745007642614,0.7714343511994894,3.6869565217391305
1598,3,EGP,0.7576168674279545,1.0,0.8788084337139772,0.576923131942749,300,241,86,0.9905226051398803,3.2343999532102887,0.7481394725678349,3.0764300146310877
1599,3,EGP,0.8088810718510513,0.5266396744874702,0.6677603731692607,0.576923131942749,300,242,28,0.898357659069991,0.5714967883801206,0.7072387309210423,2.9382984159427696
1600,3,EGP,0.8786731008460885,0.42745173140446413,0.6530624161252763,0.576923131942749,300,246,43,0.8855179862736409,0.41456183209308406,0.7641910871197294,3.2773031750707635
1601,3,EGP,0.8217447312376893,0.8379069986107364,0.8298258649242128,0.576923131942749,300,247,94,0.927397661327529,1.5768577641642523,0.7491423925652183,2.3873227711105702
1602,3,EGP,1.0,0.5060310925255523,0.7530155462627761,0.576923131942749,300,248,83,0.7676281761062739,0.8322169502900707,0.78173075973823,3.302061487662309
1603,3,EGP,0.8814155724160526,1.0,0.9407077862080263,0.576923131942749,300,250,72,0.864018044663565,3.433725539872735,0.7454336170796176,2.5003902914350675
1604,3,EGP,0.8022004336414202,0.8162117900618077,0.809206111851614,0.576923131942749,300,255,4,0.8508541474027755,0.8321249650881335,0.6530545810441958,1.751066014779095
1605,3,EGP,1.0,0.7292375391354692,0.8646187695677345,0.576923131942749,300,259,73,0.556794344133628,0.8957234104204843,0.736346726018492,2.2495357147431383
1606,3,EGP,1.0,0.5291604965831282,0.7645802482915641,0.576923131942749,300,262,43,0.7075223382988979,0.9231056579864052,0.7641910871197294,3.2773031750707635
1607,3,EGP,1.0,0.42262169359138535,0.7113108467956927,0.576923131942749,300,267,75,0.6550724746118425,0.03889967407396479,0.6953204168407722,2.9257912061170384
1608,3,EGP,0.9285672379590824,0.5850949950604202,0.7568311165097512,0.576923131942749,300,270,37,0.8812534509701135,1.3389447110224764,0.8098206889291959,3.4134697357203754
1609,3,EGP,0.7172128181240984,0.6294406347088664,0.6733267264164824,0.576923131942749,300,271,66,0.9318145075720274,0.8469465960274808,0.6490273256961259,2.6997434224831487
1610,3,EGP,0.878182902321397,0.5086699624393214,0.6934264323803592,0.576923131942749,300,272,34,0.8294824511506436,0.2722716313074911,0.7076653534720405,2.728921819110884
1611,3,EGP,0.8167817004120731,0.4115438839431842,0.6141627921776287,0.576923131942749,300,276,53,0.9260060573358176,0.23388815204903646,0.7427877577478907,3.1761687323331156
1612,3,EGP,0.9782954049768271,0.6253472195249454,0.8018213122508863,0.576923131942749,300,278,53,0.7644923527710636,1.3029048299578425,0.7427877577478907,3.1761687323331156
1613,3,EGP,0.7499615231397204,0.8230522621750398,0.7865068926573802,0.576923131942749,300,279,72,0.9767094807910429,2.1645714795006463,0.7266710039307633,3.049310168625447
1614,3,EGP,1.0,0.9511977214626072,0.9755988607313035,0.576923131942749,300,280,52,0.7435474074370526,1.743202542270879,0.7452349264927784,1.987213934957843
1615,3,EGP,0.661675950629581,0.9355019401415282,0.7985889453855546,0.576923131942749,300,281,4,0.9913786304146148,2.250503989226672,0.6530545810441958,2.572994288519031
1616,3,EGP,0.8284016313327459,0.8172544154778073,0.8228280234052766,0.576923131942749,300,285,0,0.9623539925127622,2.5922735945011692,0.7907556238455081,3.5060015171121326
1617,3,EGP,0.9297762919605322,0.5907913596190791,0.7602838257898057,0.576923131942749,300,288,65,0.7825917438464982,0.2416180295385694,0.7123680358070305,2.2876612314431735
1618,3,EGP,0.764358043374948,0.6882354434707222,0.7262967434228351,0.576923131942749,300,289,55,0.938790314347256,0.2306704073841865,0.703148357722204,1.7894931900305755
1619,3,EGP,1.0,0.7184894583761315,0.8592447291880658,0.576923131942749,300,290,71,0.8337865951811944,1.118965984965689,0.8790031748752821,2.5265186930850314
1620,3,EGP,0.8209624564821483,0.3934974806404925,0.6072299685613204,0.576923131942749,300,291,91,0.914212026846769,0.038109993722078274,0.7351744833289173,3.0706225905196156
1621,3,EGP,0.8891918978311716,0.5421396829050366,0.7156657903681041,0.576923131942749,300,292,28,0.8180468330898707,0.6489968304679523,0.7072387309210423,2.9382984159427696
1622,3,EGP,0.8101911701508248,0.5391397749202846,0.6746654725355548,0.576923131942749,300,293,4,0.842863410893371,0.26869316312045416,0.6530545810441958,2.572994288519031
1623,3,EGP,0.7184959050188243,0.8002402592079718,0.7593680821133981,0.576923131942749,300,296,96,0.997134299596379,2.016375824013105,0.7156302046152033,3.015174527973246
1624,3,EGP,1.0,0.5328727162125567,0.7664363581062783,0.576923131942749,300,297,84,0.6133661511929875,0.4309273924027145,0.6756451540060259,2.766563811339931
1625,3,EGP,0.6919861300910461,0.9153368441872336,0.8036614871391399,0.576923131942749,300,299,66,0.9570411956050797,1.4073162393318994,0.6490273256961259,1.8306320183957316
